Period,EMR Capital Expenditures (Quarterly),EMR Gross Profit Margin (Quarterly),EMR Operating Margin (TTM),EMR Price,EMR Revenue (Quarterly)
2013-12-31 00:00:00,236.0,39.8858,16.9404,70.18,5606.0
2013-12-30 00:00:00,,,,70.26,
2013-12-27 00:00:00,,,,70.21,
2013-12-26 00:00:00,,,,70.1,
2013-12-24 00:00:00,,,,69.76,
2013-12-23 00:00:00,,,,69.37,
2013-12-20 00:00:00,,,,69.34,
2013-12-19 00:00:00,,,,68.66,
2013-12-18 00:00:00,,,,67.95,
2013-12-17 00:00:00,,,,66.46,
2013-12-16 00:00:00,,,,66.89,
2013-12-13 00:00:00,,,,66.2,
2013-12-12 00:00:00,,,,66.61,
2013-12-11 00:00:00,,,,66.4,
2013-12-10 00:00:00,,,,67.54,
2013-12-09 00:00:00,,,,67.64,
2013-12-06 00:00:00,,,,67.18,
2013-12-05 00:00:00,,,,66.45,
2013-12-04 00:00:00,,,,66.46,
2013-12-03 00:00:00,,,,66.7,
2013-12-02 00:00:00,,,,66.76,
2013-11-29 00:00:00,,,,66.99,
2013-11-27 00:00:00,,,,67.52,
2013-11-26 00:00:00,,,,67.24,
2013-11-25 00:00:00,,,,67.0,
2013-11-22 00:00:00,,,,68.0,
2013-11-21 00:00:00,,,,67.72,
2013-11-20 00:00:00,,,,67.09,
2013-11-19 00:00:00,,,,67.36,
2013-11-18 00:00:00,,,,67.59,
2013-11-15 00:00:00,,,,67.97,
2013-11-14 00:00:00,,,,67.21,
2013-11-13 00:00:00,,,,66.85,
2013-11-12 00:00:00,,,,66.3,
2013-11-11 00:00:00,,,,66.95,
2013-11-08 00:00:00,,,,66.97,
2013-11-07 00:00:00,,,,66.05,
2013-11-06 00:00:00,,,,67.41,
2013-11-05 00:00:00,,,,66.85,
2013-11-04 00:00:00,,,,67.37,
2013-11-01 00:00:00,,,,67.03,
2013-10-31 00:00:00,,,,66.97,
2013-10-30 00:00:00,,,,66.9,
2013-10-29 00:00:00,,,,67.39,
2013-10-28 00:00:00,,,,67.12,
2013-10-25 00:00:00,,,,67.22,
2013-10-24 00:00:00,,,,66.53,
2013-10-23 00:00:00,,,,66.47,
2013-10-22 00:00:00,,,,66.4,
2013-10-21 00:00:00,,,,65.94,
2013-10-18 00:00:00,,,,65.64,
2013-10-17 00:00:00,,,,65.21,
2013-10-16 00:00:00,,,,64.74,
2013-10-15 00:00:00,,,,64.77,
2013-10-14 00:00:00,,,,65.6,
2013-10-11 00:00:00,,,,65.35,
2013-10-10 00:00:00,,,,64.98,
2013-10-09 00:00:00,,,,63.18,
2013-10-08 00:00:00,,,,62.98,
2013-10-07 00:00:00,,,,63.72,
2013-10-04 00:00:00,,,,63.97,
2013-10-03 00:00:00,,,,63.73,
2013-10-02 00:00:00,,,,64.43,
2013-10-01 00:00:00,,,,65.07,
2013-09-30 00:00:00,241.0,41.1627,17.447,64.7,6812.0
2013-09-27 00:00:00,,,,64.9,
2013-09-26 00:00:00,,,,65.42,
2013-09-25 00:00:00,,,,64.86,
2013-09-24 00:00:00,,,,64.96,
2013-09-23 00:00:00,,,,64.96,
2013-09-20 00:00:00,,,,64.92,
2013-09-19 00:00:00,,,,66.5,
2013-09-18 00:00:00,,,,65.69,
2013-09-17 00:00:00,,,,64.89,
2013-09-16 00:00:00,,,,64.53,
2013-09-13 00:00:00,,,,64.04,
2013-09-12 00:00:00,,,,63.61,
2013-09-11 00:00:00,,,,63.59,
2013-09-10 00:00:00,,,,63.66,
2013-09-09 00:00:00,,,,62.5,
2013-09-06 00:00:00,,,,61.47,
2013-09-05 00:00:00,,,,61.67,
2013-09-04 00:00:00,,,,61.33,
2013-09-03 00:00:00,,,,60.7,
2013-08-30 00:00:00,,,,60.37,
2013-08-29 00:00:00,,,,60.61,
2013-08-28 00:00:00,,,,60.49,
2013-08-27 00:00:00,,,,60.58,
2013-08-26 00:00:00,,,,61.75,
2013-08-23 00:00:00,,,,61.96,
2013-08-22 00:00:00,,,,62.03,
2013-08-21 00:00:00,,,,60.88,
2013-08-20 00:00:00,,,,61.56,
2013-08-19 00:00:00,,,,61.12,
2013-08-16 00:00:00,,,,61.27,
2013-08-15 00:00:00,,,,60.88,
2013-08-14 00:00:00,,,,62.07,
2013-08-13 00:00:00,,,,62.41,
2013-08-12 00:00:00,,,,62.5,
2013-08-09 00:00:00,,,,61.9,
2013-08-08 00:00:00,,,,62.31,
